NomeMunicipio ; UF ; OrgaoSuperior ; SituacaoConvenio ; ValorConvenio ; ValorLiberado ; ObjetoConvenio;;;;;
EXTERIOR ; EXTERIOR ; MINISTERIO DAS RELACOES EXTERIORES ; Concluido ; 459242.36 ; 459242.36 ; EXPANSAO E DIFUSAO DA LINGUA PORTUGUESA (CURSOS E BIBLIOTECA) E CULTU-RA BRASILEIRA. BEM COMO. AGREGACAO DA COMUNIDADE DE IMIGRANTES BRASI- LEIROS.;;;;;
EXTERIOR ; EXTERIOR ; MINISTERIO DAS RELACOES EXTERIORES ; Concluido ; 30000.00 ; 30000.00 ; OFERECER A COMUNIDADE BRASILEIRA RESIDENTE EM SAO FRANCISCO. NA FAIXA DE 10 A 20 ANOS. ATIVIDADES ARTISTICAS E DESPORTIVAS LIGADAS A PRESER-VACAO E A PROMOCAO DA LINGUA PORTUGUESA E DA CULTURA BRASILEIRA.;;;;;
EXTERIOR ; EXTERIOR ; MINISTERIO DAS RELACOES EXTERIORES ; Concluido ; 451049.00 ; 0.00 ; DIFUSAO E ENSINO DO IDIOMA PORTUGUES EM TODO O TERRITORIO ARGENTINO. DIVULGACAO DA CULTURA E DAS ARTES BRASILEIRAS. PROMOCAO E DIVULGACAO DE ESTUDOS E PESQUISAS SOBRE A CULTURA DO BRASIL. PRESERVACAO DAS TRADICOES E DIVULGACAO DA HISTORIA DO BRASIL. SERVICO DE BIBLIOTECA PARA CONSULTAS E EMPRESTIMOS DE OBRAS AO PUBLICO. REALIZACAO DE SEMINARIOS. MOSTRAS. EXPOSICOES. SIMPOSIOS. FESTIVAIS E ASSEMELHADOS PARA A CONSECUC;;;;;
EXTERIOR ; EXTERIOR ; MINISTERIO DAS RELACOES EXTERIORES ; Concluido ; 12000.00 ; 12000.00 ; REALIZACAO DE EVENTOS (SEMINARIOS. CONFERENCIAS) E EDICAO DE PUBLICA- COES COM VISTAS A DIVULGACAO DO BRASIL NA ALEMANHA E A PROMOCAO DAS RELACOES BILATERAIS NOS AMBITOS POLITICO. ECONOMICO. SOCIAL E CULTURAL.;;;;;
EXTERIOR ; EXTERIOR ; MINISTERIO DAS RELACOES EXTERIORES ; Concluido ; 10000.00 ; 0.00 ; COOPERACAO ACADEMICA. CULTURAL E EDUCACIONAL ENTRE O URUGUAI E O BRA- SIL. A FIM DE DIFUNDIR A LINGUA PORTUGUESA E A CULTURA BRASILEIRA. A  SE CONCRETIZAR POR MEIO DE APOIO AS ATIVIDADES DO NUCLEO DE ESTUDOS   BRASILEIROS DA FACULDADE DE HUMANIDADES E CIENCIAS DA EDUCACAO DA UNI-VERSIDADE DA REPUBLICA.;;;;;
EXTERIOR ; EXTERIOR ; MINISTERIO DAS RELACOES EXTERIORES ; Concluido ; 6750.00 ; 6750.00 ; O PROJETO DE COOPERACAO COM A YEREVAN STATE UNIVERSITY TEM COMO OBJETOA CONTRATACAO DE UM LEITOR BRASILEIRO PARA DAR AULAS DA LINGUA PORTU- GUESA E CULTURA BRASILEIRA EM NIVEL ACADEMICO ELEVADO. DE MODO A TRANSMITIR A FUTUROS FORMADORES DE OPINIAO ARMENIOS. ENSINAMENTOS MAIS APU-RADOS DA LINGUA E DA CULTURA NACIONAIS. QUE LHES PERMITAM AMPLIAR O CONHECIMENTO E O INTERESSE PELO BRASIL.;;;;;
EXTERIOR ; EXTERIOR ; MINISTERIO DAS RELACOES EXTERIORES ; Concluido ; 1500.00 ; 1500.00 ; CAPACITAR. EM NIVEL NACIONAL. A GUIAS TURISTICOS QUE PRESTAM SERVICOS NAS REDUCOES JESUISTICAS LOCALIZADAS NA REPUBLICA DO PARAGUAI.;;;;;
EXTERIOR ; EXTERIOR ; MINISTERIO DAS RELACOES EXTERIORES ; Concluido ; 125348.04 ; 125348.04 ; DIFUSAO E ENSINO DO IDIOMA PORTUGUES.DIVULGACAO DA CULTURA E DAS ARTESBRASILEIRAS. PROMOCAO E DIVULGACAO DE ESTUDOS E PESQUISAS SOBRE A CUL-TURA DO BRASIL. PRESERVACAO DAS TRADICOES E DA HISTORIA DO BRASIL. SERVICO DE BIBLIOTECA PARA CONSULTAS E EMPRESTIMOS DE OBRAS AO PUBLICO.  REALIZACAO DE SEMINARIOS. MOSTRAS. EXPOSICOES. SIMPOSIOS. FESTIVAIS E ASSEMELHADOS PARA A CONSECUCAO DAS ATIVIDADES DESCRITAS.;;;;;
EXTERIOR ; EXTERIOR ; MINISTERIO DAS RELACOES EXTERIORES ; Concluido ; 56000.00 ; 56000.00 ; SETE PROJETOS DE TRADUCAO LITERARIA. CURSOS ACADEMICOS. SIMPOSIOS. CONCERTOS E CONFERENCIAS PARA A DIFUSAO DA CULTURA BRASILEIRA NA ESPANHA.;;;;;
EXTERIOR ; EXTERIOR ; MINISTERIO DAS RELACOES EXTERIORES ; Concluido ; 9000.00 ; 9000.00 ; O PROJETO DE COOPERACAO COM A UNIV. VICTORIA TEM COMO OBJETO A CONTRA-TACAO DE UM LEITOR BRASILEIRO PARA DAR AULAS DE LINGUA E CULTURA BRASILEIRA EM NIVEL ACADEMICO ELEVADO. DE MODO A TRANSMITIR A FUTUROS FORMADORES DE OPINIAO NEOZELANDES ENSINAMENTOS MAIS APURADOS DA LINGUA E DACULTURA NACIONAIS. QUE LHES PERMITAM AMPLIAR O CONHECIMENTO E O INTE- RESSE PELO BRASIL.;;;;;
